BC_category,Code_category,Code
Pill,NDC,00008111720
Pill,NDC,51285008787
Pill,NDC,51285009287
Pill,NDC,54868231600
Pill,NDC,51285005866
Pill,NDC,00555912366
Pill,NDC,54868604400
Pill,NDC,51862010206
Pill,NDC,51862010201
Pill,NDC,54868481400
Pill,NDC,00555071558
Pill,NDC,51862088403
Pill,NDC,51862088401
Pill,NDC,51862088601
Pill,NDC,51862010001
Pill,NDC,00555034458
Pill,NDC,51862088603
Pill,NDC,55045349801
Pill,NDC,51862010006
Pill,NDC,58016482701
Pill,NDC,52544089228
Pill,NDC,68258594902
Pill,NDC,55045349701
Pill,NDC,23490769901
Pill,NDC,51862056401
Pill,NDC,51862056406
Pill,NDC,52544084828
Pill,NDC,52544084728
Pill,NDC,00555902058
Pill,NDC,00555902079
Pill,NDC,00093531581
Pill,NDC,00603766317
Pill,NDC,00603764217
Pill,NDC,00254202991
Pill,NDC,00603764201
Pill,NDC,53002130403
Pill,NDC,00254203091
Pill,NDC,00254203080
Pill,NDC,00093531681
Pill,NDC,00093531628
Pill,NDC,00603764017
Pill,NDC,00254202980
Pill,NDC,00093531528
Pill,NDC,00603766517
Pill,NDC,54569628000
Pill,NDC,54569628001
Pill,NDC,35356001568
Pill,NDC,54569628100
Pill,NDC,50419040303
Pill,NDC,50419040301
Pill,NDC,52544008741
Pill,NDC,54569579600
Pill,NDC,21695040701
Pill,NDC,53002156401
Pill,NDC,54868582600
Pill,NDC,52544008728
Pill,NDC,21695040703
Pill,NDC,52544093528
Pill,NDC,52544024828
Pill,NDC,35356036828
Pill,NDC,52544029128
Pill,NDC,00905029128
Pill,NDC,54868423900
Pill,NDC,21695051428
Pill,NDC,51862051006
Pill,NDC,51862051001
Pill,NDC,54569511500
Pill,NDC,54868503100
Pill,NDC,00555905167
Pill,NDC,00555905179
Pill,NDC,00555905158
Pill,NDC,51862003603
Pill,NDC,52544098131
Pill,NDC,51862003601
Pill,NDC,54569643400
Pill,NDC,54868477800
Pill,NDC,52544038428
Pill,NDC,52544038328
Pill,NDC,52544053221
Pill,NDC,54569481700
Pill,NDC,51862026001
Pill,NDC,54868424000
Pill,NDC,51862026006
Pill,NDC,68462030384
Pill,NDC,68462030329
Pill,NDC,52544062928
Pill,NDC,50102010010
Pill,NDC,50102010048
Pill,NDC,50102010001
Pill,NDC,50102010003
Pill,NDC,16714044001
Pill,NDC,16714044004
Pill,NDC,68180087711
Pill,NDC,68180087713
Pill,NDC,69238158306
Pill,NDC,16714044101
Pill,NDC,16714044104
Pill,NDC,51285042410
Pill,NDC,65862092585
Pill,NDC,51660012786
Pill,NDC,50102020013
Pill,NDC,50102020011
Pill,NDC,00642747001
Pill,NDC,54569655600
Pill,NDC,52544096691
Pill,NDC,00008006202
Pill,NDC,52544096728
Pill,NDC,23490765401
Pill,NDC,51862054506
Pill,NDC,51862054501
Pill,NDC,21695028128
Pill,NDC,54569579800
Pill,NDC,52544094928
Pill,NDC,51862002806
Pill,NDC,51862002801
Pill,NDC,54868621000
Pill,NDC,00603760817
Pill,NDC,00603760748
